year,city,1,2,3,4,5,6,7,8,9,10,11,12
2008,busan,3587154 ,3585593 ,3580784 ,3579486 ,3577179 ,3573520 ,3572177 ,3571113 ,3570292 ,3568314 ,3566639 ,3564577 
2008,seoul,10201656 ,10212056 ,10206136 ,10206862 ,10204867 ,10196863 ,10196644 ,10197320 ,10198705 ,10200440 ,10199174 ,10200827 
2009,busan,3562642 ,3562040 ,3560925 ,3555949 ,3554770 ,3553483 ,3551777 ,3550445 ,3549442 ,3548189 ,3546127 ,3543030 
2009,seoul,10207304 ,10221170 ,10225908 ,10218707 ,10222778 ,10226685 ,10229471 ,10230476 ,10228160 ,10224788 ,10217035 ,10208302 
2010,busan,3542631 ,3541701 ,3539345 ,3537482 ,3535620 ,3534822 ,3534094 ,3532906 ,3532335 ,3572497 ,3570381 ,3567910 
2010,seoul,10213153 ,10214085 ,10208670 ,10203549 ,10197997 ,10194327 ,10191949 ,10189598 ,10186556 ,10328915 ,10319500 ,10312545 
2011,busan,3566560 ,3566480 ,3564873 ,3563042 ,3562985 ,3563295 ,3560813 ,3558372 ,3556565 ,3554635 ,3553997 ,3550963 
2011,seoul,10312835 ,10314245 ,10307783 ,10301829 ,10295643 ,10288284 ,10282472 ,10277507 ,10271880 ,10266174 ,10257741 ,10249679 
2012,busan,3549501 ,3548640 ,3547141 ,3545806 ,3543688 ,3542239 ,3542218 ,3541431 ,3540802 ,3540098 ,3539273 ,3538484 
2012,seoul,10250134 ,10251297 ,10245782 ,10241387 ,10237054 ,10232281 ,10227761 ,10223243 ,10219334 ,10212445 ,10205843 ,10195318 
2013,busan,3538191 ,3539455 ,3538285 ,3537758 ,3536426 ,3534500 ,3532994 ,3531796 ,3531643 ,3530579 ,3529884 ,3527635 
2013,seoul,10195064 ,10196434 ,10192057 ,10185955 ,10181807 ,10176560 ,10172002 ,10168997 ,10166691 ,10162099 ,10154180 ,10143645 
2014,busan,3526648 ,3527439 ,3525512 ,3523386 ,3521473 ,3521210 ,3520288 ,3520287 ,3520732 ,3525913 ,3522643 ,3519401 
2014,seoul,10143164 ,10144173 ,10141727 ,10137313 ,10133734 ,10129223 ,10125912 ,10124243 ,10122661 ,10117909 ,10112156 ,10103233 
2015,busan,3517898 ,3517939 ,3515839 ,3515439 ,3515806 ,3517491 ,3518955 ,3517907 ,3516704 ,3515689 ,3514842 ,3513777 
2015,seoul,10104515 ,10105206 ,10100987 ,10094889 ,10088393 ,10078850 ,10071654 ,10063197 ,10055027 ,10045027 ,10035597 ,10022181 
2016,busan,3513361 ,3513192 ,3512444 ,3511974 ,3510833 ,3509462 ,3508095 ,3507205 ,3505821 ,3503789 ,3501671 ,3498529 
2016,seoul,10018537 ,10014261 ,10009588 ,10002979 ,9995784 ,9989795 ,9981673 ,9971111 ,9964291 ,9954791 ,9943333 ,9930616 
2017,busan,3496779 ,3495478 ,3493041 ,3491282 ,3489212 ,3486570 ,3484836 ,3484183 ,3482804 ,3478109 ,3474534 ,3470653 
2017,seoul,9930478 ,9931412 ,9926968 ,9922745 ,9919016 ,9914381 ,9908612 ,9902072 ,9891448 ,9882810 ,9870167 ,9857426 
2018,busan,3467055 ,3465407 ,3463103 ,3460707 ,3458134 ,3455611 ,3453198 ,3451049 ,3449593 ,3446856 ,3444540 ,3441453 
2018,seoul,9851767 ,9845336 ,9838892 ,9830452 ,9820971 ,9814049 ,9806538 ,9799075 ,9793003 ,9784112 ,9774088 ,9765623 
2019,busan,3438259 ,3436230 ,3434091 ,3431750 ,3429595 ,3427632 ,3425317 ,3423209 ,3421502 ,3418871 ,3416721 ,3413841 
2019,seoul,9766288 ,9770638 ,9770216 ,9766886 ,9762062 ,9757144 ,9751415 ,9744888 ,9740398 ,9736289 ,9732577 ,9729107 
2020,busan,3411819 ,3410925 ,3409932 ,3408347 ,3406942 ,3404423 ,3402776 ,3401072 ,3399749 ,3397598 ,3395514 ,3391946 
2020,seoul,9733509 ,9736962 ,9733655 ,9726787 ,9724496 ,9720846 ,9715429 ,9708247 ,9699232 ,9689159 ,9679771 ,9668465 
2021,busan,3389388 ,3387761 ,3372399 ,3369704 ,3367334 ,3364358 ,3361781 ,3359527 ,3358763 ,3356311 ,3353627 ,3350380 
2021,seoul,9657969 ,9648606 ,9598484 ,9588711 ,9575355 ,9565990 ,9558153 ,9550227 ,9542256 ,9532428 ,9520880 ,9509458 
2022,busan,3348874 ,3347396 ,3343504 ,3340214 ,3338167 ,3336737 ,3334595 ,3331444 ,3323826 ,3322286 ,3320276 ,3317812 
2022,seoul,9505926 ,9508451 ,9506778 ,9500480 ,9496887 ,9494807 ,9493211 ,9488454 ,9450768 ,9443722 ,9436836 ,9428372 
2023,busan,3316107 ,3315516 ,3313539 ,3311402 ,3309261 ,3306993 ,3305052 ,3302740 ,3300836 ,3298213 ,3295496 ,3293362 
2023,seoul,9424873 ,9427583 ,9426404 ,9422710 ,9418885 ,9414093 ,9411260 ,9409466 ,9407540 ,9400249 ,9390925 ,9386034 
2024,busan,3290964 ,3289401 ,3287292 ,3284947 ,3282751 ,3280749 ,3278280 ,3275593 ,3273473 ,,,
2024,seoul,9384325 ,9386705 ,9384739 ,9378269 ,9371930 ,9366283 ,9360400 ,9355801 ,9350995 ,,,
