seoul,bcr,far
2014/07,54.23,163.31
2014/08,54.2376,163.4128
2014/09,54.2452,163.5156
2014/10,54.2528,163.6184
2014/11,54.2604,163.7212
2014/12,54.268,163.824
2015/01,54.2756,163.9268
2015/02,54.2832,164.0296
2015/03,54.2908,164.1324
2015/04,54.2984,164.2352
2015/05,54.306,164.338
2015/06,54.3136,164.4408
2015/07,54.3212,164.5436
2015/08,54.3288,164.6464
2015/09,54.3364,164.7492
2015/10,54.344,164.852
2015/11,54.3516,164.9548
2015/12,54.3592,165.0576
2016/01,54.3668,165.1604
2016/02,54.3744,165.2632
2016/03,54.382,165.366
2016/04,54.3896,165.4688
2016/05,54.3972,165.5716
2016/06,54.4048,165.6744
2016/07,54.4124,165.7772
2016/08,54.42,165.88
2016/09,54.41933333,165.976
2016/10,54.41866667,166.072
2016/11,54.418,166.168
2016/12,54.41733333,166.264
2017/01,54.41666667,166.36
2017/02,54.416,166.456
2017/03,54.41533333,166.552
2017/04,54.41466667,166.648
2017/05,54.414,166.744
2017/06,54.41333333,166.84
2017/07,54.41266667,166.936
2017/08,54.412,167.032
2017/09,54.41133333,167.128
2017/10,54.41066667,167.224
2017/11,54.41,167.32
2017/12,54.4075,167.8875
2018/01,54.405,168.455
2018/02,54.4025,169.0225
2018/03,54.4,169.59
2018/04,54.4,167.72
2018/05,54.4,167.83
2018/06,54.4,167.95
2018/07,54.39,168.24
2018/08,54.39,168.28
2018/09,54.39,168.34
2018/10,54.38,168.45
2018/11,54.38,168.5
2018/12,54.38,168.58
2019/01,54.38,168.68
2019/02,54.38,168.74
2019/03,54.38,168.78
2019/04,54.37,168.85
2019/05,54.38,168.9
2019/06,54.38,169
2019/07,54.38,169.14
2019/08,54.38,169.19
2019/09,54.38,169.24
2019/10,54.36,169.46
2019/11,54.36,169.51
2019/12,54.36,169.57
2020/01,54.36,169.65
2020/02,54.36,169.67
2020/03,54.36,169.7
2020/04,54.36,169.73
2020/05,54.36,169.78
2020/06,54.36,169.87
2020/07,54.35,169.91
2020/08,54.35,169.97
2020/09,54.35,170.02
2020/10,54.33,170.23
2020/11,54.33,170.31
2020/12,54.33,170.36
2021/01,54.33,170.41
2021/02,54.33,170.46
2021/03,54.34,170.5
2021/04,54.34,170.53
2021/05,54.33,170.73
2021/06,54.33,170.78
2021/07,54.33,170.83
2021/08,54.34,170.89
2021/09,54.33,170.95
2021/10,54.33,171
2021/11,54.33,171.04
2021/12,54.33,171.08
2022/01,54.33,171.11
2022/02,54.33,171.17
2022/03,54.33,171.31
2022/04,54.33,171.33
2022/05,54.33,171.41
2022/06,54.33,171.46
2022/07,54.33,171.48
2022/08,54.33,171.54
2022/09,54.33,171.54
2022/10,54.33,171.53
2022/11,54.33,171.53
2022/12,54.33,171.52
2023/01,54.32,171.51
2023/02,54.32,171.51
2023/03,54.32,171.51
2023/04,54.32,171.5
2023/05,54.32,171.5
2023/06,54.32,171.49
2023/07,54.32,171.49
2023/08,54.32,171.49
2023/09,54.32,171.48
2023/10,54.3,171.77
2023/11,54.29,171.84
2023/12,54.29,171.85
